time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
275000,175,2.3154608589001375,2.2922853804367915,0.023175478463346,180,40,20,uniform
300000,174,2.3105406100363726,2.2739518911526924,0.036588718883680205,180,40,20,uniform
325000,174,2.3217619051397476,2.2957158642484825,0.026046040891265054,180,40,20,uniform
350000,173,2.314999580361839,2.278619284763857,0.03638029559798195,180,40,20,uniform
375000,173,2.3266883763350275,2.299577022542159,0.027111353792868442,180,40,20,uniform
400000,172,2.3221301177137983,2.2836517096267204,0.03847840808707792,180,40,20,uniform
425000,172,2.3324391760811762,2.303966394484266,0.028472781596910135,180,40,20,uniform
450000,172,2.3391496726121246,2.3205158045558205,0.01863386805630407,180,40,20,uniform
475000,171,2.339322806859242,2.309283686713012,0.030039120146230225,180,40,20,uniform
500000,171,2.3473609218301283,2.325840750980868,0.02152017084926028,180,40,20,uniform
525000,170,2.346589460922782,2.312671920561907,0.03391754036087491,180,40,20,uniform
550000,170,2.356150537704318,2.331390254313888,0.024760283390429905,180,40,20,uniform
575000,169,2.352563353761575,2.318440691544321,0.03412266221725391,180,40,20,uniform
600000,169,2.36426145688088,2.3368921410038075,0.027369315877072697,180,40,20,uniform
625000,168,2.3609227734397673,2.3232739567381966,0.03764881670157072,180,40,20,uniform
650000,168,2.371679533948482,2.341227060601836,0.030452473346646247,180,40,20,uniform
675000,167,2.37019851803572,2.3281301811836035,0.04206833685211642,180,40,20,uniform
700000,167,2.379560121208036,2.3450418798940236,0.0345182413140126,180,40,20,uniform
725000,166,2.380058340016501,2.333914976902421,0.046143363114080405,180,40,20,uniform
750000,166,2.388646244791372,2.3503928959465115,0.038253348844860646,180,40,20,uniform
775000,165,2.390753439549966,2.33755148503708,0.053201954512885674,180,40,20,uniform
800000,165,2.400282462577896,2.3540494995812518,0.046232962996644034,180,40,20,uniform
825000,164,2.4018844898336686,2.3416180603036443,0.06026642953002437,180,40,20,uniform
850000,164,2.4139232369003762,2.3585267889966093,0.055396447903766965,180,40,20,uniform
875000,163,2.4135670776663654,2.346899191035997,0.06666788663036849,180,40,20,uniform
900000,163,2.428269793625422,2.3629044940658472,0.06536529955957482,180,40,20,uniform
925000,162,2.4253365686910624,2.352058159897074,0.07327840879398861,180,40,20,uniform
950000,162,2.443246978040486,2.3669355296638175,0.0763114483766687,180,40,20,uniform
975000,161,2.438557634366434,2.356508005658612,0.08204962870782184,180,40,20,uniform
