angle,R0,rr0,realR,realrr,realOR,psi0,nmax,beta,maxh0,vol,rdrop,hdrop,charL,charT,r0rf,t0,tic,tau,ts,t00,Oh,SectionArea,tauMax,sigmaMax
40,160,20,172.0,12.0,148.0,0.15,10.471975511965978,0.075,4.67911113762044,82722.70225500292,51.74768197704066,18.83461593191643,5.1180152534007535,600.0,120.25231802295934,200.0,416.0,0.0,Inf,Inf,0.4811252243246881,82.25325998288366,99665.82205764971,1.0033529843576366e-5
40,160,30,179.0,19.0,141.0,0.2375,6.613879270715354,0.11875,7.018666706430661,186135.64410587196,67.80980752813217,24.680751531560364,7.67702288010113,950.0,111.19019247186783,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,185.1867634597301,149545.95283495836,6.686907810227524e-6
40,160,40,185.0,25.0,135.0,0.3125,5.026548245743669,0.15625,9.35822227524088,330911.77055762406,82.14605935227107,29.898720466491472,10.236030506801507,1250.0,102.85394064772893,417.0,1250.0,0.0,Inf,Inf,0.3333333333333333,329.1960996195936,199387.08950797626,5.015369864055296e-6
40,160,60,198.0,38.0,122.0,0.475,3.306939635357677,0.2375,14.037333412861322,744554.3093208236,107.64192522418631,39.178456740712136,15.35404576020226,1900.0,90.35807477581369,633.0,2342.0,0.0,Inf,Inf,0.27036903521793754,740.686088242088,299079.59735789447,3.343591501507029e-6
40,160,80,211.0,51.0,109.0,0.6375,2.463994238109642,0.31875,18.71644455048176,1.3236494416976906e6,130.3988185115527,47.46128852168585,20.472061013603014,2550.0,80.60118148844731,850.0,3642.0,0.0,Inf,Inf,0.2333800140046683,1316.723198208294,398764.9119821613,2.5077432089730475e-6
40,160,100,224.0,64.0,96.0,0.8,1.9634954084936207,0.4,23.395555688102192,2.0681985705841123e6,151.31433518363164,55.07391402462109,25.590076267003766,3200.0,72.68566481636836,1067.0,5120.0,0.0,Inf,Inf,0.20833333333333331,2057.3074260976537,498447.3487405882,2.006229950919931e-6
40,180,20,192.0,12.0,168.0,0.13333333333333333,11.780972450961725,0.06666666666666667,4.67911113762044,93065.24148006286,53.820182453011924,19.588944415672508,5.1180152534007535,600.0,138.1798175469881,200.0,416.0,0.0,Inf,Inf,0.4811252243246881,82.25325998288366,99665.82205764971,1.0033529843576366e-5
40,180,30,199.0,19.0,161.0,0.2111111111111111,7.440614179554773,0.10555555555555556,7.018666706430661,209404.2256003408,70.52522438024721,25.66908243935507,7.67702288010113,950.0,128.4747756197528,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,185.1867634597301,149545.95283495836,6.686907810227524e-6
40,180,40,205.0,25.0,155.0,0.2777777777777778,5.654866776461628,0.1388888888888889,9.35822227524088,372273.2496375212,85.4351539406148,31.095852994334635,10.236030506801507,1250.0,119.5648460593852,417.0,1250.0,0.0,Inf,Inf,0.3333333333333333,329.1960996195936,199387.08950797626,5.015369864055296e-6
40,180,60,218.0,38.0,142.0,0.4222222222222222,3.7203070897773864,0.2111111111111111,14.037333412861322,837617.5814848491,111.95184562582533,40.74713947896537,15.35404576020226,1900.0,106.04815437417467,633.0,2342.0,0.0,Inf,Inf,0.27036903521793754,740.686088242088,299079.59735789447,3.343591501507029e-6
40,180,80,231.0,51.0,129.0,0.5666666666666667,2.771993517873347,0.2833333333333333,18.71644455048176,1.4891049278989388e6,135.62021539647057,49.36172156908622,20.472061013603014,2550.0,95.37978460352943,850.0,3642.0,0.0,Inf,Inf,0.2333800140046683,1316.723198208294,398764.9119821613,2.5077432089730475e-6
40,180,100,244.0,64.0,116.0,0.7111111111111111,2.2089323345553233,0.35555555555555557,23.395555688102192,2.3267240046444437e6,157.37326422029096,57.27918384549628,25.590076267003766,3200.0,86.62673577970904,1067.0,5120.0,0.0,Inf,Inf,0.20833333333333331,2057.3074260976537,498447.3487405882,2.006229950919931e-6
40,200,20,212.0,12.0,188.0,0.12,13.089969389957473,0.06,4.67911113762044,103404.9995820612,55.74379201279061,20.289081037781862,5.1180152534007535,600.0,156.2562079872094,200.0,416.0,0.0,Inf,Inf,0.4811252243246881,82.25325998288366,99665.82205764971,1.0033529843576366e-5
40,200,30,219.0,19.0,181.0,0.19,8.267349088394193,0.095,7.018666706430661,232668.75351307116,73.04581694275454,26.586503104820512,7.67702288010113,950.0,145.95418305724547,317.0,828.0,0.0,Inf,Inf,0.3823595564509363,185.1867634597301,149545.95283495836,6.686907810227524e-6
40,200,40,225.0,25.0,175.0,0.25,6.283185307179586,0.125,9.35822227524088,413640.1710896264,88.48919261099516,32.20743216465102,10.236030506801507,1250.0,136.51080738900484,417.0,1250.0,0.0,Inf,Inf,0.3333333333333333,329.1960996195936,199387.08950797626,5.015369864055296e-6
40,200,60,238.0,38.0,162.0,0.38,4.133674544197096,0.19,14.037333412861322,930689.1361252498,115.95359314457416,42.20365646083858,15.35404576020226,1900.0,122.04640685542584,633.0,2342.0,0.0,Inf,Inf,0.27036903521793754,740.686088242088,299079.59735789447,3.343591501507029e-6
