time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
700000,179,0.5559901138062059,0.39613548259644055,0.15985463120976534,180,40,10,pattern
725000,179,0.5648040989109979,0.3853505094033702,0.17945358950762774,180,40,10,pattern
750000,179,0.5746618180908398,0.37258315311108664,0.2020786649797532,180,40,10,pattern
775000,179,0.5857370028709663,0.3572759959077994,0.2284610069631669,180,40,10,pattern
800000,179,0.5982606187537634,0.3386023015229841,0.25965831723077926,180,40,10,pattern
825000,180,0.6281058077061605,0.3308296145411149,0.2972761931650456,180,40,10,pattern
850000,180,0.6451513870927351,0.29871646673795016,0.34643492035478496,180,40,10,pattern
875000,180,0.6652558953583116,0.2538052624077807,0.41145063295053097,180,40,10,pattern
900000,180,0.6897532157116599,0.18323033323414417,0.5065228824775158,180,40,10,pattern
925000,180,0.7217819705373513,0.08610771843726472,0.6356742521000865,180,40,10,pattern
950000,180,0.7683535512425743,0.06740649772767705,0.7009470535148973,180,40,10,pattern
975000,180,0.8147012122735722,0.06459873873232069,0.7501024735412515,180,40,10,pattern
1000000,180,0.8455488180685465,0.06333315992788827,0.7822156581406583,180,40,10,pattern
1025000,180,0.862078359702928,0.06268636254230289,0.7993919971606251,180,40,10,pattern
1050000,180,0.8700227296036358,0.06233335529485353,0.8076893743087823,180,40,10,pattern
1075000,180,0.8737758616013345,0.06213109439469022,0.8116447672066442,180,40,10,pattern
1100000,180,0.875653830532236,0.06200278858695223,0.8136510419452838,180,40,10,pattern
1125000,180,0.876709694708455,0.061906209944498185,0.8148034847639568,180,40,10,pattern
1150000,180,0.8773965745432514,0.06181871369841359,0.8155778608448377,180,40,10,pattern
1175000,180,0.8779022595765823,0.061745735589161896,0.8161565239874204,180,40,10,pattern
1200000,180,0.8783003710283219,0.06170604361026612,0.8165943274180558,180,40,10,pattern
1225000,180,0.8786255812740493,0.0616910703598517,0.8169345109141977,180,40,10,pattern
1250000,180,0.8789022809971893,0.06168517578143411,0.8172171052157552,180,40,10,pattern
1275000,180,0.8791475886564366,0.061676941171214576,0.817470647485222,180,40,10,pattern
1300000,180,0.8882904393741863,0.061638036276732124,0.8266524030974541,180,40,10,pattern
1325000,180,0.9263789168085177,0.06161783064041851,0.8647610861680992,180,40,10,pattern
1350000,180,0.9542934222023508,0.06160751322088598,0.8926859089814648,180,40,10,pattern
1375000,180,0.9729922645429452,0.06160261092177734,0.9113896536211679,180,40,10,pattern
1400000,180,0.9846947087069553,0.06160093534066149,0.9230937733662938,180,40,10,pattern
1425000,180,0.9917020942734126,0.0616013375792562,0.9301007566941564,180,40,10,pattern
1450000,180,0.9957993818834823,0.06158046882947932,0.934218913054003,180,40,10,pattern
1475000,180,0.9981778086683868,0.0615476711290934,0.9366301375392934,180,40,10,pattern
1500000,180,0.999568641423873,0.06152899412386635,0.9380396473000067,180,40,10,pattern
1525000,180,1.0004006392034417,0.06151838467965272,0.9388822545237889,180,40,10,pattern
1550000,180,1.010511767700793,0.06149543567926098,0.9490163320215321,180,40,10,pattern
